City_ID,City,Country,Date,lat,lng,Humidity,Wind Speed,Max Temp,Cloudiness
73,Lorengau,PG,1585697452,-2.02,147.27,81,9.44,83.07,{'all': 93}
74,Kaitangata,NZ,1585697264,-46.28,169.85,78,1.99,59.0,{'all': 14}
75,Nikolskoye,RU,1585697051,59.7,30.79,80,11.18,30.2,{'all': 75}
76,Tromsø,NO,1585697452,69.65,18.96,73,16.11,26.6,{'all': 20}
77,Kavaratti,IN,1585697452,10.57,72.64,78,13.71,82.42,{'all': 0}
78,Cayenne,GF,1585697253,4.93,-52.33,88,8.05,78.8,{'all': 75}
79,Namatanai,PG,1585697453,-3.67,152.43,74,8.81,82.87,{'all': 97}
80,Chui,UY,1585697453,-33.7,-53.46,75,14.07,68.04,{'all': 71}
81,Lagoa,PT,1585697267,39.05,-27.98,69,29.55,57.45,{'all': 99}
82,Svetlaya,RU,1585697453,46.54,138.33,71,4.0,40.01,{'all': 99}
83,Pitimbu,BR,1585697453,-7.47,-34.81,88,3.36,78.8,{'all': 20}
84,Bluff,NZ,1585697051,-46.6,168.33,82,1.01,61.0,{'all': 17}
85,Thompson,CA,1585697247,55.74,-97.86,67,14.99,19.4,{'all': 75}
86,Bambous Virieux,MU,1585697453,-20.34,57.76,94,6.91,78.8,{'all': 75}
87,Hong Kong,HK,1585697238,22.29,114.16,82,6.93,66.99,{'all': 40}
88,Cidreira,BR,1585697453,-30.18,-50.21,85,15.19,72.86,{'all': 87}
89,Praia,CV,1585697454,14.92,-23.51,44,13.87,75.2,{'all': 74}
90,Tiksi,RU,1585697454,71.69,128.87,88,4.03,-1.71,{'all': 100}
91,Dhankutā,NP,1585697454,26.98,87.33,29,5.57,61.5,{'all': 0}
92,Penarth,GB,1585697454,51.44,-3.18,81,8.05,42.01,{'all': 6}
93,Cape Town,ZA,1585697305,-33.93,18.42,72,18.34,63.0,{'all': 20}
94,Araouane,ML,1585697454,18.9,-3.53,14,7.47,79.3,{'all': 14}
95,Hithadhoo,MV,1585697454,-0.6,73.08,67,8.86,83.53,{'all': 64}
